"FileName","State","Kind","Bytes","Sha256","DistributionReview"
"irons_spellbooks-stub-0.0.0.jar.bak","backup-or-other","compatibility-stub","15408","27c4de30e1a8d94af705b12cfb3be9c3cf9523bcd6c71e8ad9b5237751ff042c","license-and-authorship-required"
"Jade-1.20.1-Forge-11.13.2.jar","active","upstream-or-third-party","552486","31949971a7a8d5a5bc95ad9d400cbedfd2d65ffbfb3cea7c0b2fa3b47431a0a5","provider-metadata-required"
"JadeAddons-1.20.1-Forge-5.5.0.jar","active","upstream-or-third-party","91771","3fa00b2ee33ee154ef155997fc7e12fb0e4d7f4f06d1bfd47dd6ee3c6a1549d4","provider-metadata-required"
"jei-1.20.1-forge-15.20.0.129.jar","active","upstream-or-third-party","1409642","5e5af05aa082f5844c7b3ed0b3bd9374e160ae1914906f71d90c5656e4e80039","provider-metadata-required"
"JustEnoughResources-1.20.1-1.4.0.247.jar","active","upstream-or-third-party","276231","311d3a83db489d27b96cd15deb690ce64c78cffb552c25c3dff85956a14ec09e","provider-metadata-required"
"Kambrik-6.1.1+1.20.1-forge.jar","active","upstream-or-third-party","325546","37d0c2b03a1f3aacb30498d67c35adaca99dc9ecd30f66f383016f4cbc85be8e","provider-metadata-required"
"killcam-1.0.2.jar","active","upstream-or-third-party","139353","2c8f65cab498e22cd5c962663190113021ca6e482e098802681d9a99b9379b8e","provider-metadata-required"
"kotlinforforge-4.12.0-all.jar","active","upstream-or-third-party","7442998","6a66c6a68ec09f8717cdbf06883394f0ee24d7cd826b7134a0f81839e8e720ae","provider-metadata-required"
"Krypton FNP-forge-1.20.1-0.2.28.2-1.20.1.jar","active","upstream-or-third-party","1794016","4a3ee9c1fceff4c480024c78b9b3626a50b6839ee977aa0ff9095242cc4fcf0e","provider-metadata-required"
"kubejs-forge-2001.6.5-build.16.jar","active","upstream-or-third-party","1654660","3de6b7267d3aab981848ed54d3afe7edf20532fa4060631fd6fffcd99ac5f3d5","provider-metadata-required"
"L_Enders_Cataclysm-3.16.jar","active","upstream-or-third-party","127993805","ac1028f4bfaa2629d80ce3c1f26e28ceec2e6f2aaaac3bb03dd8957856d2e7ca","provider-metadata-required"
"lazyyyyy-lexforge-core-0.14.19.jar","active","upstream-or-third-party","2639494","5a34ec4c93990f46813c6bde29fd401c1b2954e3d6f8872f6d861a2a0719801e","provider-metadata-required"
"Library_of_Exile-1.20.1-2.1.5.jar","active","upstream-or-third-party","634987","1dcaade132905172d7373cf146d82f8d4f2c3220e02785b43a6f2cce92231e7a","provider-metadata-required"
"lightmanscurrency-1.20.1-2.3.0.0a.jar","active","upstream-or-third-party","10005470","43a74371e377f65c77b20c49b31b9386f22ec709e17ad11a15266a7ed5ee15a5","provider-metadata-required"
"limitedchunks-1.20.1-4.1.jar","active","upstream-or-third-party","16405","5ff4d22551dcd74680f5da79c9055faae44dfc0c5348c273447200e464eeac59","provider-metadata-required"
"lionfishapi-2.4-Fix.jar","active","local-or-patched","162767","7f54de417aae331bf39f2847d3029d0976b90b50f217f9b4cc856433d34aee6f","license-and-authorship-required"
"lithostitched-forge-1.20.1-1.4.11.jar","active","upstream-or-third-party","476347","c19a5a36c0e6cb3782cf7ca5b9648fb1bce5fc41fd737bed423a1f4971bccf75","provider-metadata-required"
"Log-Begone-Forge-1.20.1-1.0.8.jar","active","upstream-or-third-party","58508","7ac59d4a83c7841f46d1182b626f7b0d229b9159b8ec1a63d7a7dd40fc817adc","provider-metadata-required"
"lootr-forge-1.20-0.7.35.94.jar","active","upstream-or-third-party","463485","01200ee5889e6bcc3c5fa8f32b7b49a4bd58e653699eeb655c6f2dd314e3ce51","provider-metadata-required"
"lost_aether_content-1.20.1-1.2.3.jar","active","upstream-or-third-party","20264145","699cc6fed1ddf8f46becb169f0ffc38acf4a3e93fcdf7f7cdf1ce28deff15505","provider-metadata-required"
"mimic-1.0.5.jar","active","upstream-or-third-party","6409566","d36e71a424411cde08187bc35a11a650b681ee4f0f29897904f34313c4294dae","provider-metadata-required"
"Mine_and_lash-Compatibility-1.20.1-1.0.0.jar","active","local-or-patched","12409","47dd8eb3038701a86b52ab11592de1d7b25bdf84cfffebd5dd95227e6b2f0f1c","license-and-authorship-required"
"mine_and_meals-0.60.jar","active","upstream-or-third-party","98998","a78ef40b02bb46808055cb243f5b33bd2df5e6d70e4dd248dc5b275e8f974d07","provider-metadata-required"
"Mine_and_Slash-1.20.1-6.3.14.jar","active","upstream-or-third-party","7983045","f63d4438a4861f3b680310da41f3e931c84fa654cce7f9bbee2456dc794d6429","provider-metadata-required"
"mixin-booster-0.1.3+1.20.1.jar","active","upstream-or-third-party","1312078","b311e0bed06affaf28c1e7cf62c464c429178f5bce4b958ad651996560fbb61f","provider-metadata-required"
"modernfix-forge-5.26.2+mc1.20.1.jar","active","local-or-patched","826829","e9f00f787a78a976b8493eafeee63ff08fadb31bcb0a1e938d7b940d17ac70ae","license-and-authorship-required"
"moonlight-1.20-2.16.28-forge.jar","active","upstream-or-third-party","1393921","46ee59799b38da7b87b734e4f6f11be886a15cab51cbf78614bb50f9e43b3278","provider-metadata-required"
"mowziesmobs-1.7.3.jar","active","upstream-or-third-party","35239406","4d54374808bb4c91dc2660d67a2558dd4a79eb56ae4eeeec4e4d7446973cb0ba","provider-metadata-required"
"NaturesCompass-1.20.1-1.11.2-forge.jar.disabled","disabled","upstream-or-third-party","215119","28e05589c9e4021d9504c9eea387ed4e80adcdcd0626a9623a53754cfa69f7bf","provider-metadata-required"
"Nightfall Enhance-1.0.7.jar","active","local-or-patched","7587901","a8ce57b57d9a3d75c9d7ca629d2e298c927da434177017ffc305bfb883c88020","license-and-authorship-required"
"noworldgenwarning-1.0.0.jar","active","upstream-or-third-party","5370","fcbf7124fd40baa89dcb65ecc3b0a27867037d023a2871cd5f900fb8645aaa1d","provider-metadata-required"
"obscure_api-18.jar","active","upstream-or-third-party","1128392","14f099e9b8c1cae0c98b5ccb792d5eaf56b71c456cf2c2d59de3c175be3e3b7e","provider-metadata-required"
"Oh-The-Biomes-Weve-Gone-Forge-1.7.5.jar","active","upstream-or-third-party","19308698","3aed757e3509013d7c32b0b707c8b3e070248722f02e953293cf8e8325b8363f","provider-metadata-required"
"Oh-The-Trees-Youll-Grow-forge-1.20.1-1.5.0.jar","active","upstream-or-third-party","169160","78e458d192400c9761c818acd7433e89d2e7e66f57ee227efc2f4656946201a5","provider-metadata-required"
"OpenLoader-Forge-1.20.1-19.0.5.jar","active","upstream-or-third-party","23937","56da03448ce1c63cb0f41e99ae38c5857d663886f9249c234f18b7c0de44b151","provider-metadata-required"
"p1nero_bow-forge1.20.1-20.14.1.6.jar","active","upstream-or-third-party","932621","0fdeae02be1aefbd7e965ae832efdaa3d51fe7200caeb2d790ddbad6e15dccf9","provider-metadata-required"
"p1nero_ec-20.14.0.7.jar","active","upstream-or-third-party","4075485","cc9d14878d1f882105a6670d30203d8b686c797226f7d2f66bd4fb4dc899f885","provider-metadata-required"
"p1neros-dialogue-lib-2.3.0-mc1.20.1-forge.jar","active","upstream-or-third-party","83337","a7050b148de4c8e558c1b83cf58385b15d6118771ae55b93d85fc11f0d6cbc4e","provider-metadata-required"
"packetfixer-3.3.1-1.18-1.20.4-merged.jar","active","local-or-patched","188673","4f641e4e204315a55b3f5a33e3039076ba08c95b68ac9280ea0081fb27470c13","license-and-authorship-required"
"pandalib-forge-mc1.20-0.5.2-SNAPSHOT.jar","active","upstream-or-third-party","864398","1595c586e9c3e7e9a455d23b1686cc82f8d9e11578efd86a10a7031995301390","provider-metadata-required"
"Patchouli-1.20.1-85-FORGE.jar","active","upstream-or-third-party","642732","05f7b5d52f6b8f0fd7f8b4822fa07a192d1394d83a264309c9d221d6d4fd21c5","provider-metadata-required"
"pbf1-1.1.2.jar","active","upstream-or-third-party","5297745","a9bcccdb683518f99a77f81ec2136a9db981a09313754002ec3fc2466d56217a","provider-metadata-required"
"Placebo-1.20.1-8.6.3.jar","active","upstream-or-third-party","282474","1cdf906cfbcbb5e5be2ef1bb721f79a24b01bd2ac559c8cdbfb7693f62421571","provider-metadata-required"
"player-animation-lib-forge-1.0.2-rc1+1.20.jar","active","upstream-or-third-party","181437","90d9965cb9efdbda29fdc5610be3914cf7008bf5c392ff34f7ab25f96a852691","provider-metadata-required"
"Prism-1.20.1-forge-1.0.5.jar","active","upstream-or-third-party","52205","b1a576f920faeb2175f693e3ee7ba9e5ff0bcf0e404da29f1824ea3c66efd240","provider-metadata-required"
"PuzzlesLib-v8.1.33-1.20.1-Forge.jar","active","upstream-or-third-party","1342987","f3077a9f817629b8e8929c1951042d1a1adc62d30b72adebd54d2b074a4faf4f","provider-metadata-required"
"Quark-4.0-462.jar","active","upstream-or-third-party","14935230","c90b96f049d92825c4a103721988c80d72e5ad380d17be46a0f53e114874c478","provider-metadata-required"
"quick-pack-forge-1.2.1+1.20.1-all.jar","active","upstream-or-third-party","639252","883f85f13a43c3c9cabc44ea1f5e001718ffa40cf7b6bb97d5d7890347cf89e0","provider-metadata-required"
"radiantgear-forge-2.2.0+1.20.1.jar","active","upstream-or-third-party","47170","2a6c7e0825c69bd38dc1bb1ce8a8d6b097cac835e16e46afaa0f207fb819bb96","provider-metadata-required"
"resourcefulconfig-forge-1.20.1-2.1.3.jar","active","upstream-or-third-party","136923","c404b9e5cf8595427a72d4ca6ee5730289168762b463f169be3ae5dfe3727ded","provider-metadata-required"
